Date,Open,High,Low,Close,Adj Close,Volume
1993-02-01,43.96875,44.25,43.96875,44.25,25.301025390625,480500
1993-02-02,44.21875,44.375,44.125,44.34375,25.354631423950195,201300
1993-02-03,44.40625,44.84375,44.375,44.8125,25.62264633178711,529400
1993-02-04,44.96875,45.09375,44.46875,45.0,25.7298526763916,531500
1993-02-05,44.96875,45.0625,44.71875,44.96875,25.71198844909668,492100
1993-02-08,44.96875,45.125,44.90625,44.96875,25.71198844909668,596100
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.533313751220703,122100
1993-02-10,44.65625,44.75,44.53125,44.71875,25.569040298461914,379600
1993-02-11,44.78125,45.125,44.78125,44.9375,25.694107055664062,19500
1993-02-12,44.875,44.875,44.59375,44.59375,25.49757194519043,42500
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.85432243347168,374800
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.83646583557129,210900
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.818588256835938,378100
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.907936096191406,34900
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.997272491455078,513600
1993-02-23,43.84375,43.875,43.46875,43.6875,24.979400634765625,373700
1993-02-24,43.71875,44.25,43.71875,44.25,25.301025390625,26300
1993-02-25,44.21875,44.375,44.125,44.34375,25.354631423950195,44500
1993-02-26,44.4375,44.4375,44.1875,44.40625,25.39035987854004,66200
1993-03-01,44.5625,44.5625,44.21875,44.28125,25.318906784057617,66500
1993-03-02,44.3125,44.9375,44.25,44.9375,25.694107055664062,182400
1993-03-03,45.0,45.15625,44.9375,45.125,25.80132484436035,280100
1993-03-04,45.1875,45.1875,44.875,44.875,25.65837287902832,89500
1993-03-05,44.9375,45.125,44.71875,44.75,25.586904525756836,40000
1993-03-08,44.84375,45.75,44.84375,45.75,26.15867805480957,50800
1993-03-09,45.65625,45.6875,45.5,45.59375,26.06934356689453,169300
1993-03-10,45.59375,45.6875,45.40625,45.6875,26.122955322265625,194400
1993-03-11,45.71875,45.84375,45.5,45.5625,26.05147361755371,70900
1993-03-12,45.1875,45.21875,44.8125,45.09375,25.783464431762695,643600
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.908540725708008,310800
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.908540725708008,30800
1993-03-17,45.25,45.25,44.96875,45.03125,25.747716903686523,21800
1993-03-18,45.21875,45.5,45.21875,45.3125,25.908540725708008,59300
1993-03-19,45.28125,45.28125,45.03125,45.03125,25.869321823120117,66900
1993-03-22,44.59375,44.875,44.5625,44.78125,25.72571563720703,183400
1993-03-23,44.90625,44.9375,44.8125,44.875,25.779563903808594,55200
